pincode,officeName,district,state,storedLat,storedLon,kmFromRegion,regionPrefix,severity
486884,"Nigahi Project S.O","SINGRAULI","MADHYA PRADESH",23.9984,82.6993,14419,48688*,CRITICAL
486885,"Vindhyanagar S.O","SINGRAULI","MADHYA PRADESH",24.0915556,82.6498611,14408,48688*,CRITICAL
486883,"SARAI","SIDHI","MADHYA PRADESH",24.046711,82.209411,14403,48688*,CRITICAL
486887,"Amlori Project S.O","SINGRAULI","MADHYA PRADESH",24.1595556,82.4900278,14397,48688*,CRITICAL
486882,"Chitrangi S.O","SINGRAULI","MADHYA PRADESH",24.470232,82.535303,14364,48688*,CRITICAL
733139,"Fulbari S.O","NA","NA",25.3644441,88.603976,14361,73313*,CRITICAL
486881,"Jiawan S.O","SINGRAULI","MADHYA PRADESH",24.4047222,81.8783333,14357,48688*,CRITICAL
246142,"Kalagarh SO","PAURI GARHWAL","UTTARAKHAND",29.4907778,78.7643333,10930,24614*,CRITICAL
450119,"Narmada Nagar S.O (East Nimar)","EAST NIMAR","MADHYA PRADESH",21.8229167,76.3519444,10406,45011*,CRITICAL
575025,"Srinivasnagar S.O","DAKSHINA KANNADA","KARNATAKA",13.0088333,74.7932778,9804,57502*,CRITICAL
575020,"Ullal S.O","DAKSHINA KANNADA","KARNATAKA",12.8203889,74.84175,9785,57502*,CRITICAL
577451,"KVV Shankaraghattta S.O","SHIVAMOGGA","KARNATAKA",13.7358889,75.6323889,9618,57745*,CRITICAL
577009,"Lokikere S.O","DAVANGERE","KARNATAKA",0,0,8247,57700*,CRITICAL
462116,"Nodal Delivery Centre Shahpura Bhopal","NA","NA",23.2010622,77.4252362,8174,4621*,CRITICAL
389135,"Singvad SO","DOHAD","GUJARAT",0,0,7868,38913*,CRITICAL
815117,"Surajdih B.O","PAKUR","JHARKHAND",24.25987,87.36958,7860,815*,CRITICAL
182207,"GANDOH SO","DODA","JAMMU AND KASHMIR",33.1352657,75.5174733,7476,18220*,CRITICAL
182206,"Dul Hasti Project SO","KISHTWAR","JAMMU AND KASHMIR",33.1844,75.4639,7472,18220*,CRITICAL
535558,"Bobbili H.O","VIZIANAGARAM","ANDHRA PRADESH",18.5744722,83.3570278,7229,53555*,CRITICAL
497555,"Godripara SO","KOREA","CHHATTISGARH",23.170373,82.359938,7202,497*,CRITICAL
497553,"Kurasia Colly SO","KOREA","CHHATTISGARH",23.170115,82.369097,7202,497*,CRITICAL
497557,"Sonawani Colly SO","KOREA","CHHATTISGARH",23.189453,82.383141,7200,497*,CRITICAL
182129,"Bhart BO","DODA","JAMMU AND KASHMIR",33.305413,75.061222,7063,18212*,CRITICAL
762030,"Baghiabahal S.O","BOUDH","ODISHA",82.566686,82.566686,6858,7620*,CRITICAL
182140,"Kaban BO","KISHTWAR","JAMMU AND KASHMIR",33.305413,75.061222,6825,18214*,CRITICAL
385581,"LAKHANI S.O","BANAS KANTHA","GUJARAT",24.311674,71.822033,6786,3855*,CRITICAL
781020,"Noonmati S.O","KAMRUP METRO","ASSAM",91.4810429,26.1058359,6725,78102*,CRITICAL
535569,"Pakki SO","VIZIANAGARAM","ANDHRA PRADESH",18.5979,83.4804,6612,5355*,CRITICAL
403701,"Assolna S.O","SOUTH GOA","GOA",15.1805381,73.9711474,6011,40370*,CRITICAL
403501,"Porvorim S.O","NORTH GOA","GOA",15.5462476,73.8233046,5989,40350*,CRITICAL
201022,"Bhojpur SO","HAPUR","UTTAR PRADESH",77.37410016,28.47342492,5871,2010*,CRITICAL
403409,"Betora I.E. S.O","SOUTH GOA","GOA",15.386036,74.0312696,5459,40340*,CRITICAL
403402,"Velha goa S.O","NORTH GOA","GOA",15.5016444,73.9133377,5442,40340*,CRITICAL
403403,"Piedade S.O","NORTH GOA","GOA",15.527641,73.904069,5439,40340*,CRITICAL
176060,"Darang SO","KANGRA","HIMACHAL PRADESH",76.321,31.8662,5240,17606*,CRITICAL
500931,"NDC Ibrahim Bagh Lines","NA","NA",78.66083333,17.5355,5201,5009*,CRITICAL
500984,"NDC Kothaguda","NA","NA",78.5118889,17.4739167,5191,5009*,CRITICAL
500934,"NDC Banjarahills","NA","NA",78.43588889,17.41722222,5187,5009*,CRITICAL
500918,"NDC Sanathnagar","NA","NA",78.44747222,17.45655556,5187,5009*,CRITICAL
500989,"NDC Chitrapuri Colony","NA","NA",78.3705889,17.4156429,5182,5009*,CRITICAL
182104,"PTC Udhampur SO","UDHAMPUR","JAMMU AND KASHMIR",32.9095278,75.1062222,5181,18210*,CRITICAL
403731,"Cavelossim S.O","SOUTH GOA","GOA",15.18612012,73.94713971,5004,4037*,CRITICAL
403602,"Fatorda S.O","SOUTH GOA","GOA",15.2923922,73.966067,4783,403*,CRITICAL
403204,"St. Lourence S.O","NORTH GOA","GOA",15.4263216,73.8990009,4766,403*,CRITICAL
403203,"Pilar S.O (North Goa)","NORTH GOA","GOA",15.4421021,73.893379,4765,403*,CRITICAL
403202,"Bambolim Complex S.O","NORTH GOA","GOA",15.4645534,73.8587148,4761,403*,CRITICAL
403201,"Bambolim Camp S.O","NORTH GOA","GOA",15.47306601,73.87022101,4760,403*,CRITICAL
403206,"Goa University S.O","NORTH GOA","GOA",15.4594471,73.8124613,4758,403*,CRITICAL
403106,"Sant Estevam S.O","NORTH GOA","GOA",15.5338611,73.9510833,4422,40310*,CRITICAL
403102,"Chorao S.O","NORTH GOA","GOA",15.5531117,73.8892767,4416,40310*,CRITICAL
